year,name,PracticeID,lhb,lhbcode,la,lacode,GPCluster,clustercode,pop,CHD,COPD,DEM,DIAB,EPI,HF,HYP,LRN,MEN,OBI,OST,PAL,RAR,STR,AF,AST,CAN,FLU
2019,Pen Y Maes Health Centre,W91006,Betsi Cadwaladr,7A1,Wrexham,522,North & West Wrexham,CC113,"8,025", 262 , 230 , 28 , 484 , 58 , 90 ," 1,154 ", 20 , 104 , 762 , 2 , 20 , 45 , 164 , 141 , 525 , 192 ," 1,657 "
2019,Cadwgan Surgery,W91007,Betsi Cadwaladr,7A1,Conwy,516,Conwy East,CC104,"11,987", 453 , 257 , 92 , 756 , 101 , 140 ," 1,843 ", 54 , 120 ," 1,191 ", 26 , 34 , 94 , 242 , 266 , 960 , 457 ," 3,194 "
2019,Healthy Prestatyn Iach,W91009,Betsi Cadwaladr,7A1,Denbighshire,518,North Denbighshire,CC111,"20,726"," 1,117 ", 773 , 235 ," 1,593 ", 195 , 234 ," 3,790 ", 92 , 235 ," 1,373 ", 107 , 63 , 175 , 493 , 584 ," 1,567 ", 925 ," 6,411 "
2019,Canolfan Iechyd Llangollen Health Centre,W91010,Betsi Cadwaladr,7A1,Wrexham,522,South Wrexham,CC112,"9,300", 381 , 202 , 92 , 517 , 73 , 99 ," 1,491 ", 26 , 93 , 997 , 42 , 66 , 85 , 232 , 307 , 616 , 379 ," 2,666 "
2019,Hope Family Medical Centre,W91013,Betsi Cadwaladr,7A1,Flintshire,520,South Flintshire,CC110,"9,020", 304 , 149 , 109 , 519 , 63 , 71 ," 1,423 ", 20 , 48 , 818 , 3 , 11 , 60 , 198 , 238 , 598 , 334 ," 2,306 "
2019,Kinmel Bay Medical Centre,W91014,Betsi Cadwaladr,7A1,Conwy,516,Conwy East,CC104,"6,946", 399 , 323 , 91 , 670 , 46 , 79 ," 1,483 ", 30 , 67 ," 1,085 ", 14 , 7 , 68 , 173 , 200 , 650 , 309 ," 2,304 "
2019,The Stables Medical Practice,W91015,Betsi Cadwaladr,7A1,Flintshire,520,North East Flintshire,CC106,"10,324", 319 , 156 , 29 , 540 , 61 , 46 ," 1,510 ", 10 , 50 ," 1,086 ", 5 , 15 , 60 , 154 , 198 , 705 , 301 ," 2,432 "
2019,Bryn Darland Surgery,W91016,Betsi Cadwaladr,7A1,Wrexham,522,North & West Wrexham,CC113,"4,826", 189 , 142 , 36 , 307 , 30 , 55 , 850 , 17 , 42 , 511 , 1 , 8 , 30 , 107 , 118 , 419 , 168 ," 1,292 "
2019,Pendre Surgery,W91017,Betsi Cadwaladr,7A1,Flintshire,520,South Flintshire,CC110,"10,574", 484 , 255 , 85 , 703 , 75 , 145 ," 1,854 ", 58 , 84 , 992 , 76 , 34 , 83 , 296 , 397 , 824 , 486 ," 3,570 "
2019,Roseneath Medical Practice,W91018,Betsi Cadwaladr,7A1,Flintshire,520,South Flintshire,CC110,"10,516", 395 , 195 , 67 , 548 , 74 , 100 ," 1,485 ", 28 , 58 , 874 , 24 , 28 , 91 , 238 , 238 , 767 , 367 ," 2,849 "
2019,Gardden Road Surgery,W91019,Betsi Cadwaladr,7A1,Wrexham,522,South Wrexham,CC112,"8,598", 345 , 261 , 42 , 500 , 67 , 84 ," 1,612 ", 48 , 76 , 551 , 5 , 28 , 74 , 170 , 186 , 905 , 291 ," 1,965 "
2019,Forge Road Surgery,W91020,Betsi Cadwaladr,7A1,Wrexham,522,North & West Wrexham,CC113,"6,426", 196 , 167 , 35 , 362 , 58 , 67 , 867 , 27 , 76 , 666 , 9 , 13 , 43 , 116 , 121 , 523 , 167 ," 1,303 "
2019,Marches Medical Practice,W91021,Betsi Cadwaladr,7A1,Flintshire,520,North East Flintshire,CC106,"15,519", 543 , 322 , 73 , 916 , 99 , 156 ," 2,387 ", 60 , 98 ," 1,825 ", 14 , 56 , 121 , 297 , 387 ," 1,054 ", 508 ," 3,583 "
2019,Plas Y Bryn Medical Centre,W91022,Betsi Cadwaladr,7A1,Wrexham,522,Central Wrexham,CC114,"13,508", 444 , 327 , 102 , 713 , 93 , 137 ," 2,138 ", 58 , 160 ," 1,216 ", 23 , 41 , 68 , 276 , 273 , 941 , 383 ," 2,828 "
2019,Pen-y-Bont Surgery,W91023,Betsi Cadwaladr,7A1,Denbighshire,518,Central & South Denbighshire,CC103,"4,950", 230 , 166 , 36 , 369 , 35 , 84 , 841 , 45 , 46 , 336 , 8 , 25 , 46 , 117 , 124 , 366 , 228 ," 1,485 "
2019,Chirk Surgery,W91024,Betsi Cadwaladr,7A1,Wrexham,522,South Wrexham,CC112,"9,814", 333 , 253 , 102 , 611 , 88 , 89 ," 1,621 ", 31 , 58 ," 1,096 ", 88 , 40 , 79 , 229 , 266 , 635 , 372 ," 2,603 "
2019,Alyn Family Doctors,W91025,Betsi Cadwaladr,7A1,Wrexham,522,North & West Wrexham,CC113,"12,631", 543 , 334 , 119 , 765 , 83 , 161 ," 2,558 ", 27 , 75 ," 1,356 ", 12 , 14 , 79 , 294 , 417 , 971 , 645 ," 3,668 "
2019,Overton Medical Practice,W91026,Betsi Cadwaladr,7A1,Wrexham,522,South Wrexham,CC112,"6,643", 233 , 127 , 21 , 382 , 44 , 78 ," 1,232 ", 25 , 48 , 673 , 29 , 10 , 50 , 140 , 205 , 533 , 252 ," 1,621 "
2019,Bronyffynnon Surgery,W91027,Betsi Cadwaladr,7A1,Denbighshire,518,Central & South Denbighshire,CC103,"5,208", 199 , 191 , 36 , 314 , 52 , 66 , 941 , 79 , 57 , 278 , 24 , 39 , 39 , 96 , 117 , 469 , 140 ," 1,310 "
2019,Park House Surgery,W91028,Betsi Cadwaladr,7A1,Denbighshire,518,North Denbighshire,CC111,"8,280", 358 , 330 , 60 , 565 , 56 , 89 ," 1,487 ", 46 , 67 , 937 , 8 , 30 , 63 , 164 , 184 , 737 , 241 ," 2,328 "
2019,Bodowen Surgery,W91029,Betsi Cadwaladr,7A1,Flintshire,520,North West Flintshire,CC108,"7,853", 280 , 190 , 46 , 472 , 54 , 83 ," 1,642 ", 39 , 56 , 634 , 13 , 12 , 58 , 138 , 222 , 592 , 306 ," 2,082 "
2019,St. George's Crescent Surgery,W91030,Betsi Cadwaladr,7A1,Wrexham,522,Central Wrexham,CC114,"6,656", 237 , 186 , 69 , 396 , 59 , 76 , 964 , 28 , 94 , 990 , 6 , 18 , 46 , 140 , 138 , 446 , 184 ," 1,435 "
2019,Rhoslan Surgery,W91031,Betsi Cadwaladr,7A1,Conwy,516,Conwy East,CC104,"9,716", 357 , 205 , 154 , 566 , 91 , 101 ," 1,455 ", 59 , 131 , 882 , 52 , 12 , 53 , 224 , 262 , 641 , 298 ," 2,610 "
2019,Allt Goch Medical Centre,W91032,Betsi Cadwaladr,7A1,Flintshire,520,North West Flintshire,CC108,"5,542", 189 , 138 , 63 , 299 , 45 , 53 , 804 , 17 , 41 , 487 , 3 , 16 , 42 , 97 , 80 , 308 , 131 ," 1,179 "
2019,Beech House Surgery,W91033,Betsi Cadwaladr,7A1,Denbighshire,518,Central & South Denbighshire,CC103,"9,280", 369 , 264 , 87 , 559 , 66 , 121 ," 1,799 ", 30 , 116 , 742 , 18 , 29 , 88 , 217 , 282 , 580 , 345 ," 2,721 "
2019,The Clinic Surgery,W91034,Betsi Cadwaladr,7A1,Denbighshire,518,Central & South Denbighshire,CC103,"2,868", 87 , 66 , 15 , 144 , 12 , 31 , 475 , 9 , 27 , 245 , 4 , 2 , 14 , 66 , 72 , 215 , 112 , 813 
2019,Shotton Lane Surgery,W91036,Betsi Cadwaladr,7A1,Flintshire,520,North East Flintshire,CC106,"8,385", 305 , 241 , 43 , 462 , 76 , 99 ," 1,226 ", 25 , 51 , 716 , 20 , 16 , 70 , 153 , 227 , 531 , 261 ," 2,060 "
2019,Pennant Surgery,W91037,Betsi Cadwaladr,7A1,Flintshire,520,North West Flintshire,CC108,"2,694", 103 , 95 , 16 , 189 , 22 , 28 , 409 , 35 , 40 , 200 , 2 , 6 , 11 , 32 , 53 , 230 , 58 , 591 
2019,Gwrych Medical Centre,W91038,Betsi Cadwaladr,7A1,Conwy,516,Conwy East,CC104,"15,602", 831 , 465 , 137 ," 1,191 ", 124 , 162 ," 3,331 ", 68 , 135 , 758 , 10 , 36 , 122 , 412 , 471 ," 1,252 ", 662 ," 5,416 "
2019,Deeside Medical Centre,W91039,Betsi Cadwaladr,7A1,Flintshire,520,North East Flintshire,CC106,"5,306", 219 , 104 , 25 , 323 , 35 , 65 , 872 , 11 , 44 , 283 , 7 , 12 , 64 , 104 , 113 , 337 , 183 ," 1,349 "
2019,The Quay Surgery,W91040,Betsi Cadwaladr,7A1,Flintshire,520,North East Flintshire,CC106,"8,091", 268 , 172 , 24 , 460 , 39 , 97 ," 1,287 ", 28 , 57 ," 1,009 ", 6 , 13 , 45 , 162 , 156 , 605 , 258 ," 1,766 "
2019,Beechley Medical Centre,W91042,Betsi Cadwaladr,7A1,Wrexham,522,Central Wrexham,CC114,"3,695", 114 , 78 , 21 , 181 , 25 , 27 , 539 , 26 , 87 , 342 , 2 , 2 , 16 , 61 , 82 , 222 , 107 , 688 
2019,Ruabon Medical Centre,W91043,Betsi Cadwaladr,7A1,Wrexham,522,South Wrexham,CC112,"8,836", 328 , 193 , 36 , 507 , 72 , 111 ," 1,628 ", 22 , 64 , 970 , 4 , 32 , 47 , 136 , 201 , 643 , 310 ," 2,129 "
2019,Leeswood Surgery,W91044,Betsi Cadwaladr,7A1,Flintshire,520,South Flintshire,CC110,"2,371", 88 , 83 , 4 , 158 , 11 , 26 , 471 , 9 , 10 , 207 , 2 , 15 , 13 , 51 , 56 , 121 , 97 , 617 
2019,Eyton Place Surgery,W91046,Betsi Cadwaladr,7A1,Flintshire,520,North West Flintshire,CC108,"3,929", 139 , 61 , 33 , 248 , 27 , 41 , 576 , 14 , 32 , 183 , 10 , 6 , 24 , 73 , 81 , 196 , 80 , 980 
2019,Corwen Family Practice,W91047,Betsi Cadwaladr,7A1,Denbighshire,518,Central & South Denbighshire,CC103,"4,067", 151 , 115 , 27 , 213 , 29 , 79 , 682 , 13 , 40 , 264 , 7 , 68 , 35 , 110 , 123 , 367 , 149 ," 1,113 "
2019,Rysseldene Surgery,W91048,Betsi Cadwaladr,7A1,Conwy,516,Conwy East,CC104,"8,609", 380 , 211 , 125 , 576 , 78 , 126 ," 1,560 ", 46 , 107 , 600 , 22 , 23 , 45 , 229 , 259 , 597 , 363 ," 2,567 "
2019,Queensferry Medical Practice,W91051,Betsi Cadwaladr,7A1,Flintshire,520,North East Flintshire,CC106,"7,774", 325 , 194 , 50 , 400 , 50 , 74 ," 1,043 ", 33 , 57 , 450 , 6 , 25 , 47 , 102 , 127 , 510 , 184 ," 1,462 "
2019,Madryn House Surgery,W91053,Betsi Cadwaladr,7A1,Denbighshire,518,North Denbighshire,CC111,"6,630", 239 , 248 , 36 , 420 , 64 , 59 ," 1,056 ", 50 , 83 , 555 , 7 , 14 , 60 , 112 , 134 , 474 , 201 ," 1,643 "
2019,Borras Park Surgery,W91054,Betsi Cadwaladr,7A1,Wrexham,522,Central Wrexham,CC114,"5,683", 129 , 72 , 10 , 234 , 28 , 29 , 812 , 21 , 37 , 407 , 8 , 11 , 40 , 70 , 82 , 284 , 115 ," 1,144 "
2019,The Laurels Surgery,W91055,Betsi Cadwaladr,7A1,Flintshire,520,North West Flintshire,CC108,"6,362", 262 , 194 , 36 , 403 , 55 , 63 ," 1,111 ", 32 , 54 , 738 , 18 , 16 , 36 , 137 , 163 , 531 , 204 ," 1,592 "
2019,Coedpoeth Health Centre,W91056,Betsi Cadwaladr,7A1,Wrexham,522,North & West Wrexham,CC113,"2,437", 78 , 39 , 8 , 129 , 10 , 22 , 318 , 15 , 21 , 242 , 2 , 9 , 16 , 29 , 44 , 123 , 75 , 506 
2019,Middle Lane Surgery,W91057,Betsi Cadwaladr,7A1,Denbighshire,518,Central & South Denbighshire,CC103,"3,493", 129 , 103 , 22 , 218 , 26 , 48 , 463 , 15 , 24 , 182 , 5 , 13 , 35 , 68 , 80 , 283 , 108 , 908 
2019,Hillcrest Medical Centre,W91058,Betsi Cadwaladr,7A1,Wrexham,522,Central Wrexham,CC114,"5,554", 209 , 155 , 22 , 367 , 45 , 48 , 879 , 30 , 67 , 494 , -00 , 12 , 29 , 88 , 112 , 394 , 114 ," 1,253 "
2019,Beech Avenue Practice,W91059,Betsi Cadwaladr,7A1,Wrexham,522,South Wrexham,CC112,"5,971", 182 , 215 , 17 , 342 , 47 , 56 , 834 , 49 , 81 , 244 , 5 , 3 , 61 , 79 , 79 , 477 , 134 ," 1,236 "
2019,St Mark's Dee View Surgery,W91060,Betsi Cadwaladr,7A1,Flintshire,520,North East Flintshire,CC106,"6,606", 253 , 200 , 31 , 407 , 43 , 67 ," 1,274 ", 33 , 50 ," 1,147 ", 32 , 15 , 66 , 110 , 115 , 483 , 188 ," 1,407 "
2019,Hanmer Surgery,W91604,Betsi Cadwaladr,7A1,Wrexham,522,South Wrexham,CC112,"1,864", 68 , 26 , 3 , 130 , 18 , 18 , 481 , 3 , 12 , 114 , 5 , 5 , 8 , 26 , 42 , 113 , 57 , 619 
2019,Caergwrle Medical Practice,W91610,Betsi Cadwaladr,7A1,Flintshire,520,South Flintshire,CC110,"2,049", 75 , 63 , 20 , 136 , 13 , 26 , 361 , 13 , 17 , 359 , 1 , 29 , 17 , 41 , 51 , 133 , 69 , 514 
2019,Crane Medical Centre,W91614,Betsi Cadwaladr,7A1,Wrexham,522,South Wrexham,CC112,"2,312", 73 , 57 , 5 , 143 , 9 , 30 , 332 , 18 , 41 , 247 , 4 , 23 , 10 , 45 , 50 , 135 , 55 , 488 
2019,Lakeside Medical Centre,W91615,Betsi Cadwaladr,7A1,Denbighshire,518,North Denbighshire,CC111,"2,094", 84 , 59 , 8 , 137 , 17 , 6 , 239 , 6 , 12 , 151 , 5 , 4 , 10 , 23 , 28 , 152 , 55 , 571 
2019,Kings House Surgery,W91622,Betsi Cadwaladr,7A1,Denbighshire,518,North Denbighshire,CC111,"6,715", 203 , 210 , 27 , 347 , 48 , 90 , 966 , 50 , 105 , 686 , 14 , 17 , 37 , 116 , 129 , 531 , 157 ," 1,375 "
2019,Berllan Surgery,W91624,Betsi Cadwaladr,7A1,Denbighshire,518,Central & South Denbighshire,CC103,"1,882", 46 , 74 , 14 , 106 , 30 , 16 , 300 , 70 , 42 , 184 , 7 , 3 , 9 , 34 , 40 , 102 , 57 , 483 
2019,Bromfield Medical Centre,W91626,Betsi Cadwaladr,7A1,Flintshire,520,South Flintshire,CC110,"2,041", 59 , 33 , 5 , 118 , 8 , 18 , 334 , 12 , 46 , 96 , 7 , 15 , 10 , 28 , 30 , 143 , 54 , 458 
2019,Caia Park Surgery,W91629,Betsi Cadwaladr,7A1,Wrexham,522,Central Wrexham,CC114,"3,909", 102 , 79 , 115 , 201 , 41 , 18 , 391 , 32 , 76 , 290 , 1 , 17 , 7 , 59 , 38 , 218 , 35 , 524 
2019,Panton Surgery,W91636,Betsi Cadwaladr,7A1,Flintshire,520,North West Flintshire,CC108,"3,383", 125 , 91 , 18 , 213 , 31 , 26 , 512 , 34 , 31 , 282 , 3 , 11 , 24 , 43 , 63 , 302 , 75 , 716 
2019,St Thomas Surgery,W92002,Hywel Dda,7A2,Pembrokeshire,528,North Pembrokeshire,CC204,"12,359", 342 , 328 , 75 , 704 , 66 , 83 ," 1,983 ", 68 , 98 , 965 , 13 , 56 , 116 , 231 , 322 , 746 , 399 ," 3,067 "
2019,Meddygfa Minafon,W92003,Hywel Dda,7A2,Carmarthenshire,530,Amman/Gwendraeth,CC201,"8,295", 412 , 239 , 57 , 591 , 95 , 156 ," 1,455 ", 43 , 92 ," 1,030 ", 5 , 21 , 78 , 221 , 261 , 699 , 273 ," 2,434 "
2019,New Quay Surgery,W92005,Hywel Dda,7A2,Ceredigion,526,South Ceredigion,CC205,"5,402", 189 , 145 , 18 , 344 , 28 , 44 , 813 , 6 , 29 , 316 , 5 , 5 , 35 , 102 , 144 , 310 , 50 ," 1,829 "
2019,Borth Medical Practice,W92006,Hywel Dda,7A2,Ceredigion,526,North Ceredigion,CC203,"2,685", 158 , 83 , 30 , 209 , 21 , 73 , 557 , 3 , 34 , 352 , 4 , 15 , 24 , 73 , 105 , 145 , 115 , 898 
2019,Coach & Horses Surgery,W92007,Hywel Dda,7A2,Carmarthenshire,530,Taf / Tywi,CC207,"7,162", 371 , 135 , 69 , 593 , 61 , 79 ," 1,322 ", 42 , 96 ," 1,130 ", 45 , 40 , 71 , 202 , 265 , 533 , 287 ," 2,293 "
2019,Barlow House Surgery,W92008,Hywel Dda,7A2,Pembrokeshire,528,North Pembrokeshire,CC204,"8,966", 374 , 321 , 67 , 625 , 85 , 101 ," 1,648 ", 28 , 81 , 975 , 25 , 54 , 102 , 196 , 269 , 644 , 316 ," 2,444 "
2019,Meddygfa Teilo,W92009,Hywel Dda,7A2,Carmarthenshire,530,Taf / Tywi,CC207,"9,529", 354 , 166 , 70 , 533 , 78 , 98 ," 1,529 ", 60 , 71 , 976 , 17 , 15 , 78 , 246 , 303 , 616 , 442 ," 2,849 "
2019,Meddygfa'r Sarn,W92013,Hywel Dda,7A2,Carmarthenshire,530,Amman/Gwendraeth,CC201,"4,167", 191 , 108 , 13 , 286 , 38 , 56 , 794 , 19 , 40 , 567 , 5 , 9 , 35 , 96 , 126 , 372 , 117 ," 1,037 "
2019,Church Surgery,W92014,Hywel Dda,7A2,Ceredigion,526,North Ceredigion,CC203,"10,233", 301 , 164 , 77 , 489 , 83 , 126 ," 1,323 ", 42 , 133 , 868 , 36 , 19 , 77 , 203 , 229 , 580 , 303 ," 2,146 "
2019,Fishguard Health Centre,W92015,Hywel Dda,7A2,Pembrokeshire,528,North Pembrokeshire,CC204,"9,272", 394 , 257 , 73 , 576 , 79 , 95 ," 1,565 ", 34 , 80 , 888 , 9 , 34 , 128 , 223 , 282 , 559 , 335 ," 2,948 "
2019,Furnace House Surgery,W92016,Hywel Dda,7A2,Carmarthenshire,530,Taf / Tywi,CC207,"14,752", 537 , 249 , 111 , 930 , 121 , 185 ," 2,379 ", 41 , 207 ," 1,485 ", 38 , 33 , 107 , 340 , 418 ," 1,019 ", 415 ," 4,019 "
2019,Meddygfa Emlyn,W92018,Hywel Dda,7A2,Ceredigion,526,South Ceredigion,CC205,"9,316", 383 , 232 , 70 , 608 , 78 , 94 ," 1,766 ", 38 , 100 , 562 , 6 , 58 , 78 , 212 , 269 , 763 , 425 ," 2,874 "
2019,Llynyfran Surgery,W92019,Hywel Dda,7A2,Ceredigion,526,South Ceredigion,CC205,"10,423", 492 , 256 , 68 , 739 , 89 , 117 ," 2,005 ", 53 , 79 , 974 , 21 , 76 , 124 , 279 , 322 , 722 , 410 ," 3,383 "
2019,Fairfield Surgery,W92021,Hywel Dda,7A2,Carmarthenshire,530,Llanelli,CC202,"8,032", 339 , 149 , 64 , 511 , 90 , 79 ," 1,174 ", 35 , 79 , 735 , 4 , 7 , 55 , 217 , 201 , 616 , 269 ," 1,952 "
2019,Tanyfron Surgery,W92022,Hywel Dda,7A2,Ceredigion,526,North Ceredigion,CC203,"7,330", 340 , 183 , 40 , 569 , 67 , 174 ," 1,639 ", 48 , 77 , 806 , 6 , 57 , 75 , 174 , 247 , 494 , 306 ," 2,564 "
2019,Meddygfa Taf,W92023,Hywel Dda,7A2,Carmarthenshire,530,Taf / Tywi,CC207,"7,273", 332 , 128 , 41 , 451 , 57 , 87 ," 1,116 ", 28 , 61 , 626 , 17 , 19 , 63 , 181 , 244 , 558 , 266 ," 2,053 "
2019,Meddygfa Padarn Surgery,W92024,Hywel Dda,7A2,Ceredigion,526,North Ceredigion,CC203,"11,427", 161 , 95 , 31 , 308 , 49 , 93 , 829 , 30 , 60 , 609 , 11 , 18 , 37 , 88 , 129 , 613 , 172 ," 1,263 "
2019,Ystwyth Medical Group,W92025,Hywel Dda,7A2,Ceredigion,526,North Ceredigion,CC203,"7,595", 290 , 193 , 82 , 446 , 57 , 164 ," 1,405 ", 35 , 70 , 800 , 41 , 60 , 88 , 149 , 235 , 576 , 281 ," 2,066 "
2019,Tenby Surgery,W92027,Hywel Dda,7A2,Pembrokeshire,528,South Pembrokeshire,CC206,"7,429", 332 , 211 , 77 , 408 , 37 , 92 ," 1,310 ", 23 , 90 , 538 , 7 , 18 , 70 , 212 , 307 , 453 , 345 ," 2,248 "
2019,Meddygfa Tywyn Bach,W92031,Hywel Dda,7A2,Carmarthenshire,530,Llanelli,CC202,"7,244", 339 , 192 , 48 , 542 , 59 , 66 ," 1,349 ", 46 , 60 , 612 , 27 , 14 , 65 , 171 , 220 , 545 , 269 ," 2,283 "
2019,Saundersfoot Medical Centre,W92033,Hywel Dda,7A2,Pembrokeshire,528,South Pembrokeshire,CC206,"9,512", 501 , 231 , 127 , 692 , 87 , 216 ," 2,398 ", 42 , 107 ," 1,306 ", 131 , 53 , 162 , 352 , 424 , 691 , 563 ," 3,443 "
2019,Meddygfa'r Tymbl,W92035,Hywel Dda,7A2,Carmarthenshire,530,Amman/Gwendraeth,CC201,"7,394", 355 , 231 , 77 , 518 , 69 , 114 ," 1,205 ", 75 , 49 , 932 , 22 , 21 , 58 , 178 , 230 , 516 , 209 ," 2,167 "
2019,Brynteg Surgery,W92036,Hywel Dda,7A2,Carmarthenshire,530,Amman/Gwendraeth,CC201,"10,462", 473 , 301 , 102 , 723 , 94 , 119 ," 1,705 ", 56 , 74 , 745 , 86 , 68 , 95 , 249 , 288 , 699 , 415 ," 3,035 "
2019,Avenue Villa Surgery,W92037,Hywel Dda,7A2,Carmarthenshire,530,Llanelli,CC202,"9,413", 367 , 205 , 66 , 512 , 84 , 93 ," 1,016 ", 51 , 116 , 700 , 18 , 59 , 48 , 205 , 229 , 757 , 298 ," 2,173 "
2019,Narberth Surgery,W92038,Hywel Dda,7A2,Pembrokeshire,528,South Pembrokeshire,CC206,"8,906", 369 , 122 , 82 , 558 , 63 , 93 ," 1,748 ", 30 , 75 , 944 , 26 , 68 , 95 , 221 , 338 , 631 , 362 ," 2,759 "
2019,Bro Pedr Medical Group,W92039,Hywel Dda,7A2,Ceredigion,526,South Ceredigion,CC205,"12,230", 464 , 288 , 69 , 777 , 79 , 151 ," 2,054 ", 70 , 124 ," 1,302 ", 55 , 61 , 101 , 223 , 302 , 780 , 466 ," 3,364 "
2019,Market Street Practice,W92040,Hywel Dda,7A2,Carmarthenshire,530,Amman/Gwendraeth,CC201,"9,382", 366 , 191 , 78 , 617 , 70 , 64 ," 1,375 ", 71 , 75 , 645 , 2 , 18 , 58 , 150 , 223 , 819 , 287 ," 2,432 "
2019,The Robert Street Surgery,W92041,Hywel Dda,7A2,Pembrokeshire,528,North Pembrokeshire,CC204,"8,283", 307 , 165 , 32 , 598 , 79 , 74 , 978 , 47 , 76 , 536 , 9 , 40 , 82 , 214 , 191 , 532 , 185 ," 2,151 "
2019,Winch Lane Surgery,W92042,Hywel Dda,7A2,Pembrokeshire,528,North Pembrokeshire,CC204,"14,561", 501 , 516 , 91 , 824 , 109 , 134 ," 2,335 ", 69 , 177 ," 1,084 ", 16 , 84 , 160 , 340 , 408 , 732 , 492 ," 3,862 "
